app_id,sector,review,score
com.freecharge.android,Finance & Wallets,upi registration have been temporarily pushed. {ER-1193},1
com.phonepe.app,Finance & Wallets,thank you so much Phonepe On indian bank tq so much,5
net.one97.paytm,Finance & Wallets,"paise cut chuke hai and payment failed hogya tha , to Paytm ne paise cut kar liklye hai Aaj 2 din ho gye abhi tak nahi aaye , don't use this 3rd party app",1
org.khanacademy.android,Education,"Hi, Khan Academy. Thank you for adding 4th grade (Philippines) and (MATATAG) from the Math section. Philippines is where I come from, and I love math. At first it was difficult, but I found out I can make a mistake and learn from it. If not too much to ask, do you think you can add Kinder, grades 1, 2, 3, 5 and 6 (Philippines)? That would be perfect for early homeschooled students. Thank you. I know I can ""count"" on you.",5
com.google.android.apps.nbu.paisa.user,Banking,please enable the video call option in this app.,5
com.google.android.apps.translate,Utilities,"It's the best, one lil thing it will be so good to have a auto grammar correction to help make a right sentences.",5
com.makemytrip,Travel,bilkul bakwas application hai cancellation ka 500rs charge karte hai not use this application,1
com.myntra.android,Shopping,"Myntra, an Indian fashion e-commerce platform, receives mixed reviews. While it's praised for its wide range of products, user-friendly interface, and frequent sales, many users report issues with product quality, delivery delays, and customer service. Some users have also experienced difficulties with returns and refunds.",5
com.goibibo,Travel,Good app for train bookings.,5
com.byjus.thelearningapp,Education,"It helped me so much, I am the topper of the class",5
com.makemytrip,Travel,"They sometimes have fraudulent claims in some of their listings, which are not true",1
com.byjus.thelearningapp,Education,This app is very important for learning app,5
com.mxtech.videoplayer.ad,Entertainment,so bad quality thumbs down so bad,1
com.fitbit.FitbitMobile,Fitness,helps me keep and stay healthy.,5
com.byjus.thelearningapp,Education,The app is not working properly,2
com.instagram.android,Social Media,why do i have to download the app to message people. Thats stupid,2
com.facebook.katana,Social Media,flickery tonight and kept timing out but any other time it works great.,3
com.byjus.thelearningapp,Education,Most worst app We paid a lot of money for video and books and they stopped sending us books. Worst,1
com.fitbit.FitbitMobile,Fitness,"Syncing problems: Pixel Watch 3 & Pixel 8 phone; the watch intermittently does not sync with phone, data lost, sometimes parts data sync when manually trying to sync it says that it cant connect to phone. You would think that a Pixel watch wold work well with Pixel phone ! Last several years Google software is really lacking. Seriously considering switch to Apple in my next upgrade cycle.",1
com.netflix.mediaclient,Entertainment,bro me and my girlfriend want to share an account but it won't let us. I love down the street from her like 1 mimute away and it won't let us use the same account.,1
org.khanacademy.android,Education,"I dont know why, the fact that you made everything free is so AMAZING!! I hope your company strives and thank you for helping billions of us here 😊😊",5
org.khanacademy.android,Education,It's a wonderful app for preparation of SAT and other exams. I personally found the app very useful and easy to use and user friendly. No inappropriate ads .All is wonderful and top rated . So I will just all those who can't afford to pay fees of academies and other college can learn every single thing from here . Thank you Khan academy faculty. God bless you all.,5
com.byjus.thelearningapp,Education,worst offline service.. tricked into paying fee and claiming false refund policy and also not agreeing for cancellation as they said during admission as per trial period,1
com.freecharge.android,Finance & Wallets,"Trying to login for upi transactions, It was showing error from last days and I have been raised concern but no response from the team.",1
com.google.android.dialer,Utilities,doriovitch you leave a msg and NO ONE reply,1
com.ubercab,Transport,"I've been using the Uber app for a while now and overall, it's a very convenient and user-friendly platform for booking rides. The interface is clean and easy to navigate. I really appreciate the live location tracking, estimated fare details, and the ability to choose different types of rides according to my budget. Drivers usually arrive on time and the ride quality is mostly good. The in-app safety features like ride sharing, emergency help, and trip verification give added peace of mind.",5
com.fitbit.FitbitMobile,Fitness,Works great. Keeps track of of several fitness categories.,5
com.truecaller,Utilities,bahut badiya sarvice hai aap logo ki,4
com.fitbit.FitbitMobile,Fitness,"Used for about a month before the watch stopped syncing and the app stopped letting me log in. Filed a ticket, and customer service called me specifically to tell me they couldn't connect me to a customer service agent. Useless.",1
com.truecaller,Utilities,not installing in my phone,1
org.khanacademy.android,Education,Content is good but still after giving all correct answers it is not becoming 100% please fix this....a humble request,1
com.google.android.apps.translate,Utilities,very very very very very very very very very very bad bad bad bad bad bad app,1
com.olacabs.customer,Transport,Ola itna bakwaas app hai mai 1 ghante se jane ke liye auto book kar ra nahi hua bahut bakwaas app hai,1
com.ubercab,Transport,very good app for riding drivers are very honest,5
com.olacabs.customer,Transport,My drop location was changed without my knowledge. Upon asking the driver he said I booked it wrong maybe and I should get down midway as he doesn't wish to go to my location. I am certain that I booked the correct location but it changed midway. Also I had to pay the full fare even though I got down midway. I want my money back. I can see so many people have shared the same experiences here. Anyone reading this review please do not use this scamming app.,1
com.instagram.android,Social Media,not easy to use or set up,1
com.phonepe.app,Finance & Wallets,through this money safe and secure transaction thank you for ur services,5
com.amazon.mShop.android.shopping,Shopping,I don't want this app and since,1
com.facebook.katana,Social Media,facebook good app to use asy friend post mind share friend request new friend,5
com.axis.mobile,Banking,Thanks all purpose useful banking,5
com.udemy.android,Education,Nothing is loading...??,1
com.goibibo,Travel,nice earning this apps,5
com.makemytrip,Travel,third class app. Completely hang when u try searching places. I would have given it 0,1
com.fitbit.FitbitMobile,Fitness,"went to update firmware & app & fitbit now not working, can't link to app & even though had it a 2yrs it its been ok I'm now having to buy a new watch-fitbit I'm ashamed that you can't update without causing issues. I won't be buying again. fitbit is stuck in firmware update & won't do anything even charge properly & its been fine just the updates have caused it to fail & taken my watch with it. update fitbit not now updating as can't sync with phone looking to buy a new device now",1
com.udemy.android,Education,"It is very good, online is very important in today's era, thank you",5
com.makemytrip,Travel,"An excellent and easy-to-use app. The best part is its simplicity -;great job by the UI/UX team. Customer support is also very helpful. I met the founder, Deep Kalra, years ago at a seminar - such a humble person. I also really like their new outstation cab service.",5
org.khanacademy.android,Education,"Its so amazing that these People put effort in creating such an opportunity for development of society, I wish more People would know about this",5
com.fitbit.FitbitMobile,Fitness,Doesn't like to synch regularly,1
com.udemy.android,Education,Amazing app gives deep knowledge in all topics,4
com.fitbit.FitbitMobile,Fitness,Does not perform even the most basic requests. I have had to uninstall and reinstall the app more than 15 times for synching issues. It is the most useless app that I have. Time to go with another brand.,1
com.truecaller,Utilities,"I appreciate the services Truecaller provides, but recently I’ve been facing an issue. During urgent or emergency situations, the app shows too many advertisements, which delays my ability to make or receive important calls. This can be extremely frustrating and, at times, risky. I request you to please remove ads",1
com.fitbit.FitbitMobile,Fitness,"Went from perfectly functional to impossibly glitchy. I've reset my fitbit numerous times thinking the inability to complete a sync is because of it but it isn't. Food tracking says one thing for calories on the main page and something different when you click on it. Extremely frustrating. I have updated the app, uninstalled and re-installed.",2
com.byjus.thelearningapp,Education,app how to start help me,1
com.ixigo.train.ixitrain,Travel,easy and simple desboard,5
com.phonepe.app,Finance & Wallets,experience is too good with smoothly payment features,5
com.makemytrip,Travel,Thank you 👍 best travels apps,5
org.khanacademy.android,Education,Khan academy is very awesome it helps me with my down fall which is math I failed math in school so Khan academy is very helpful and gives me step by step in math thank you Khan academy...,5
com.udemy.android,Education,This is the best app I ever come across for personal development and techniques,5
com.byjus.thelearningapp,Education,i can't even open the app. when I tried to open it was all stuck so i thought maybe i should update and I did. but still no still stuck so i uninstalled and install the app and it asked for number and it's not giving otp and when I try to click resend it's not happening. I used to love this app but don't know what happened to this app these days.,1
com.ixigo.train.ixitrain,Travel,good extent ixigo aap,5
com.goibibo,Travel,Thanks for create this app,5
org.khanacademy.android,Education,"This is absolutely the worst app I have ever used to do my assignments on, but I'm forced to use it for work. But I can't even do my work because the app keeps resetting and now I can't do anything, and it's all just really frustrating, I have tried reaching out to my school, to Khan academy, and even tried to get someone to fix it. I just really need help. I don't want to fail because of the app.",1
com.olacabs.customer,Transport,"Worst app ever. They've not unlocked me so that i cannot make any bookings. Very cheap service.. Go with Uber, the best service i ever had.",1
com.google.android.apps.translate,Utilities,helps when its needed the most,5
com.myntra.android,Shopping,their return and exchange services is very poor ...if you are trying to get help from the help centre through the message they give you a no. but then you try to call...they didn't receive at all!! worst service I lost my money,1
com.amazon.mShop.android.shopping,Shopping,app gone haywire unable to view images and text all jumbles and out of sync.,1
com.goibibo,Travel,"It's quick, easy and better discount",5
com.myntra.android,Shopping,delivery was very delayed and customer support also wasn't appropriate,1
com.instagram.android,Social Media,I have been uploaded 100 videos but this app doesn't give me a 10 million followers 😔,4
com.fitbit.FitbitMobile,Fitness,I hate the lab results popping up in the app. I have tried so hard to get rid of them.,2
com.freecharge.android,Finance & Wallets,my freecharge upi account not start,4
com.olacabs.customer,Transport,"today evening I booked 3 Autos all asked for additional RS 50/- I agreed to pay, later they cancelled the trip... then I booked one cab same has happened... I booked another cab he also asked additional RS 50 I agreed and paid....",1
com.phonepe.app,Finance & Wallets,It's very helpful for everyone,4
com.freecharge.android,Finance & Wallets,Unable to login I even mailed the same to you,1
com.byjus.thelearningapp,Education,I am trying to login my account...but I couldn't the OTP verification doesn't working properly.....I couldn't get any otps during login process...... please resolve this issue very soon,1
com.google.android.apps.translate,Utilities,‌Excellent...thank you,5
com.byjus.thelearningapp,Education,"Everything is wrong with every shade of this app, I should have never installed the update, what used to be a great source of joy is now a nuisance to me. Doesn't open the videos, when it opens, it's not corresponding, it's a total waste of time 😥😭",1
com.fitbit.FitbitMobile,Fitness,Don't buy a Fitbit device. They refuse to cover it under warranty and their products fail within 6 months. I've filed a complaint with the BBB concerning their hidden policy and warranty practices.,1
com.whatsapp,Social Media,"This app is fenomenale for chatting, messaging, passing files and is super easy to use with intuitive gestures. It have a lot of privacy for the chats, calls etc. + you don't need a subscription for something.",5
com.amazon.mShop.android.shopping,Shopping,used to be one of a kind...,3
com.mxtech.videoplayer.ad,Entertainment,it is really very good very,5
com.olacabs.customer,Transport,frod application. Rides are asking per metre price,1
com.google.android.apps.translate,Utilities,the parfect aap to translate,5
com.facebook.katana,Social Media,apps is a very good apps,5
com.whatsapp,Social Media,the best of the world,5
com.whatsapp,Social Media,"I hate the recent update, broadcast messages are limited to 35 per month ! So annoying !",2
com.byjus.thelearningapp,Education,Never thought this app will cheat students like this,1
com.ixigo.train.ixitrain,Travel,best train aap in World,5
com.ubercab,Transport,"everything was excellent. I just want to request one thing. Please try to update a set up to minimise the waiting time. When a passenger is in a hurry, this long waiting time makes him/her impatient and, even also, this long waiting time harms him/her when the passenger has to reach the destination within a shorter period for which he/she wants to book Uber. Regards.",5
com.makemytrip,Travel,easy steps to complete the task💪 thanks,5
com.olacabs.customer,Transport,"Whenever I try to book a ride, it never gets booked, always take time, and ends up getting cancelled.",1
com.myntra.android,Shopping,nice app with best delivery experience,5
com.whatsapp,Social Media,it is the best app to use,5
com.netflix.mediaclient,Entertainment,not playing on my phone just keep on loading!,1
com.makemytrip,Travel,"I like your service it is very excilent for me,",5
com.ixigo.train.ixitrain,Travel,nice ui than other apps,5
com.fitbit.FitbitMobile,Fitness,Really unfortunate that Google is so controlling. It keeps asking for GPS permissions just to use the app. I feel like I should be able to use another app that respects my privacy better but that isn't allowed for some reason. Next time I'll get products where I have more control over it so this doesn't happen.,2
com.ixigo.train.ixitrain,Travel,this app is so good 👍,5
com.fitbit.FitbitMobile,Fitness,Since the last update unable to add my glucose data .The controls to save goes Into to the notification area and does not respond,4
com.google.android.apps.translate,Utilities,thankyou for your help,5
com.netflix.mediaclient,Entertainment,🤣🤣🤣🤣🤣😂😂😂😂😂 u and disney why u have download option if ur app don't work without network,1
org.khanacademy.android,Education,Mujhe yahan ki Hindi acche se nahin samajh a Rahi ap logon Ko normal Hindi karna chahiye,4
com.instagram.android,Social Media,sometimes good and sometimes bad,4
org.khanacademy.android,Education,"(Dark mode) please? It would be a perfect app if it had this option. 🙏🙏 17 Apr 2024 Thanks for the dark mode, now I give it 5 stars.",5
com.ixigo.train.ixitrain,Travel,any time for any work perfectly working thnx,5
com.truecaller,Utilities,Now a time this app is working fine but most of the time too long ads,3
com.netflix.mediaclient,Entertainment,not support on my phone!!!!!!,1
com.whatsapp,Social Media,"Great app. I would love the developers to consider including a design that helps you get or recover all your sent messages in a group chat. Also, it would be more efficient if we can pin more than 3 messages..",4
com.ubercab,Transport,some driver are lazy but this was very work ful,5
com.google.android.apps.translate,Utilities,it was very good Agar Hamen English Nahin samajh mein Aati Hai To yah sab Bata deta hai so it was very good,5
com.olacabs.customer,Transport,my phone heats up while using this app,1
com.myntra.android,Shopping,love it..i am shopping everything from myntra,5
com.ubercab,Transport,drivers not accept the request,5
com.netflix.mediaclient,Entertainment,limited bollywood movies,1
com.mxtech.videoplayer.ad,Entertainment,MX Player is my best app when it comes to watching movies. Simply the best.,5
com.amazon.mShop.android.shopping,Shopping,I am 100% disabled and being able to order from Amazon make my life so much simpler. and sign up for prime it will really help you.,5
com.whatsapp,Social Media,I cant open my app Whats wrong,1
com.facebook.katana,Social Media,It's Facebook! Good social media platform with an amazing marketplace if you're looking to buy you can most definitely find it there!,4
com.google.android.apps.translate,Utilities,"This is a good app, but this app has no sanskrit translate.",4
com.fitbit.FitbitMobile,Fitness,Latest update made my Charge 5 going into infinite boot loop. Bricking older devices to make people buy newer ones?,1
com.makemytrip,Travel,worst app on Play Store. I tried so many times to connect with customer care but invain. It's showing wrong my email address. I shared the details already.,1
com.myntra.android,Shopping,A1 quality wala app hai bhai,5
com.makemytrip,Travel,"Worst costomer support ever, no resolution of any issue. never returned my money. I have registered a complaint on the national consumer forum even then they lied and didn't return the amount",1
com.makemytrip,Travel,"worst experience, even after being gold member",1
com.makemytrip,Travel,"I have been a long term customer. I have lost thirteen thousand as the app offered ambiguous payment offers. I had to buy another ticket with an extra fifteen thousand and once I tried to raise a refund request I was denied saying it is as per their policy that as a user I had agreed to their policy. I will not use makemytrip ever again in future. I will also share this to my family, friend circle and work place and alert people. I will try to keep people informed about this incident.",1
com.fitbit.FitbitMobile,Fitness,apparently Fitbit does not want to help me get fit since they believe my phone is now 'out of date'. Reducing my 5 star review to 1 star. Why update my Fitbit if I can't see the app !,1
com.byjus.thelearningapp,Education,hy byjus team this application is not working in 2025 it takes longer time to open and it send otp but we didn't receive and the app is not responding please solve this i want to use this application...,5
com.byjus.thelearningapp,Education,this app is the worst this is the most third class app please do not take this course they first just call and full call after that they will either recieve the call nor they update our upcoming grades i took it to my daughter till class 9 but they never updated class 9 th syllabus and did even not pick the call this app and this learning course does even not deserve 1 star mentor would also even not pick the call to clarify the doubts the . most disgusting app .they made it a medium to earn,1
com.whatsapp,Social Media,in this app maybe give me my business understanding,3
com.makemytrip,Travel,best choice for hotels n more,5
com.udemy.android,Education,The sound cuts out on the videos all the time. Really annoying! Using a pixel 9 pro fold.,2
com.fitbit.FitbitMobile,Fitness,A broken app. The tiles refuse to install or uninstall. SpO2 and ECG are geo-restricted making the watch (Sense 2) worth a lot less than it's current price in the world except the Americas and the Europe.,1
org.khanacademy.android,Education,"I am very thankful for this app, this app makes every lesson very easy to understand, specially math❤️ i wished I discovered this app earlier.",5
com.netflix.mediaclient,Entertainment,"won't let me renew downloaded items, continually shoves games in my face with no option to turn off or decline",1
com.myntra.android,Shopping,"I had worst experience with myntra service. recently I had order one dress from myntra. price of this dress is 599 including charges I had paid 630 rs . but due to Size issue I had returned this item. I got refund amount is 599. they deducted 30 rs. as item is returned within return policy. product is unused, with tags & original packaging.",1
com.udemy.android,Education,this course useful for coder career development,4
com.instagram.android,Social Media,my insta is not download Mera insta download nhi ho rha,1
com.fitbit.FitbitMobile,Fitness,Doesn't always sync automatically,4
com.amazon.mShop.android.shopping,Shopping,best app in the world,5
com.byjus.thelearningapp,Education,Otp hi nhi ara Mera tw,1
com.ubercab,Transport,"Good experience, Good Driver, reasonable price",5
com.byjus.thelearningapp,Education,It is not opening even if I tried several times. The OTP isn't coming to our mobile. It's not fault of my mobile phone and is your fault since I tried several times and with my 5G mobile and again I faced the same problem. The last star I left is because of that reason. I thought several times that It's my internet problem but it is not. So fix this problem immediately so that I can learn topics based on JEE-ADVANCED exam and there is no much time for that.I trusted you but you guys 😡😡😞😞,4
com.fitbit.FitbitMobile,Fitness,"I love my Fitbit for tracking my activity, but I'm really frustrated with the food logging. It only lets me enter food by portion size, and that's not accurate enough for me. I wish they would add the option to enter food by weight in grams. That would make it so much easier to track my calories and macros accurately.",3
com.amazon.mShop.android.shopping,Shopping,No one can beat Amazon,5
com.olacabs.customer,Transport,"July 25 Pathetic app 1st Sept '24 Minus 10 Star Rating. OLA app is still unreliable . Earlier issues aren't sorted. The Safety button is a joke, it doesn't work. Update 28th May 2022- App hasn't improved. Payment with cashless mode not possible. Update 5th May 2022 App is still horibble. Payment alwas fails. Card payment option failed repeatedly and did not let me change my mode of payment. Horrible customer support options on the app. App layout and design extremely confusing.",1
com.netflix.mediaclient,Entertainment,I really enjoy Netflix it's very nice,5
com.udemy.android,Education,"I love everything about this app, nice interface and user-friendly, great course and the payments prices are cool and very much affordable, I also like the fact that some courses are free for some people who cannot afford to pay and learn, overall I am impressed.",5
com.axis.mobile,Banking,Best Credit Card In The Market,5
com.whatsapp,Social Media,Mera WhatsApp kyu Bend huaa hai ?? Fir se chalu karo please 🙏,4
com.byjus.thelearningapp,Education,Frequent calls tp students for subscription,1
com.fitbit.FitbitMobile,Fitness,"This app is trash, it's slow and unresponsive on a good day and so far 9 out of 10 times the app just crashes or has to be killed because it becomes frozen and can't even do something as simple as change the clock face or uninstall any of the waste of space apps that are pre installed on this versa 2 I just got. so far I am disappointingly unsold on the Fitbit craze if this is the hassle I have to deal with when owning a smart watch",1
com.makemytrip,Travel,i believe make my trip show add a switch in flight option for not using boeing flight. i hope we should have the details before searching anything about the flight.,1
com.google.android.apps.nbu.paisa.user,Banking,"hey google pay, when full delegation in upi circle comes. please reply",3
com.whatsapp,Social Media,This app is awesome. All the features here are great.,5
com.myntra.android,Shopping,service and goods quality of Myntra is awesome,5
com.fitbit.FitbitMobile,Fitness,"Latest update is very bad i cant access wallet, location not working and many more. revert to previous release",1
com.netflix.mediaclient,Entertainment,good but occasionally skips a bit of time for no reason.,4
com.byjus.thelearningapp,Education,We can not login 😠😠😡😡😡,2
com.whatsapp,Social Media,Auto logged out and not able to login. it is showing it has an account in another phone but I didn't have another phone logged in,1
com.axis.mobile,Banking,very helpful person and awesome service,5
org.khanacademy.android,Education,"The best app to study, the best EVER!",5
com.makemytrip,Travel,always helpful service provider,5
com.google.android.dialer,Utilities,excellence is the key component 💯 percent of the time!,5
com.ixigo.train.ixitrain,Travel,"Ixigo is a scammy app. I booked 2 train tickets (₹238), both waitlisted. After auto-cancellation, they refunded just ₹80. ₹120 gone for no reason — no travel, no service. IRCTC gives full refund, but Ixigo deducts shady charges without proper warning. You basically pay for nothing. This app exploits users and hides behind fine print. Don’t trust it. Book directly on IRCTC. Uninstalled. Never using again.",1
com.makemytrip,Travel,"bad experience in make mytrip don't book through this website you are wasting money. Please book from directly flight website its ticket high but your money will not waste, we are unable call customer so how we can trust this website",1
com.fitbit.FitbitMobile,Fitness,saved my life. alerted to a heart arrhythmia.,5
com.netflix.mediaclient,Entertainment,Let us share passwords you greedy bums. your system doesn't work anyways every other day I'm having to log out and log back in because even though my phone is my main device every time my wife watches Netflix on our TV which is on the same wifi network and apart of the household it kicks my phone out of the household. The worst part is no one at Netflix who matters or has any weight will ever even have known this review exists. No company cares about their customer base but Netflix especially,3
com.whatsapp,Social Media,it is good but meta is bad,2
com.ubercab,Transport,High fair More then Ola And Indrive,1
com.byjus.thelearningapp,Education,"The thing that makes me annoyed is the fact that you guys have the ""good going"" thing, its not useful and it is a hindrance when i want to complete lessons please for the love of god remove it cause i have experience of these thing when i am studying for my exam",3
com.google.android.apps.translate,Utilities,okay yeah good thanks you,5
com.ixigo.train.ixitrain,Travel,Good for train jarney,5
com.byjus.thelearningapp,Education,Can't join class it got stuck,1
com.google.android.apps.nbu.paisa.user,Banking,"Hi there after paid when I press "" Done"" can't back it's like freezing please look into it Thanks",2
com.whatsapp,Social Media,there is an issue that is during video call we unable to send msg ..if we try to massage someone then video call short picture may minimize kindly work on it .this happens after current update.,2
com.whatsapp,Social Media,i don't know why Oppo can not use WhatsApp,1
com.freecharge.android,Finance & Wallets,I didn't even recieved a cashback 😑,1
com.ixigo.train.ixitrain,Travel,"Never buy travel guarantees . 3 A Train charges- 1155, Travel guarantees -699 ,conventional charges 35 and agents charges 40 after all this they give you RAC (half sheet).They make you full .",1
com.netflix.mediaclient,Entertainment,"Netflix offers a wide range of movies, series, and original content. Great streaming quality, user-friendly interface, and always something new to watch",5
com.instagram.android,Social Media,Mere followers increase krao,5
com.makemytrip,Travel,"Bad service, bad communication",1
com.fitbit.FitbitMobile,Fitness,"terrible, they have got rid of the heart rate tracker. previous versions if you went for a run you could see where the peaks were in your heart rate. if it's not broken why change it.",1
org.khanacademy.android,Education,Imma give it a whole 5 star. It's really amazing. Best part is it's free.,5
com.google.android.apps.translate,Utilities,This app is really good..!! 💯,5
com.goibibo,Travel,this is most useful and helpful and good traveler,5
com.byjus.thelearningapp,Education,My app stopped working whereas i have latest version and full premium,1
com.whatsapp,Social Media,i love whatsapp because you can contect to your family,5
com.ubercab,Transport,waiting time is too long my train was on 9:30 p.m and I have to leave on 7:45 p.m I opened Uber on 7:30 p.m and till 8:00 p.m I have waited for my ride then I have took Autorickshaw .,1
com.amazon.mShop.android.shopping,Shopping,I never received the decal i ordered i also ordered a phone case i received the phone case but no decal,5
com.myntra.android,Shopping,i love shopping from myntra,4
com.olacabs.customer,Transport,Cab not Available Third class Service Provide,1
com.myntra.android,Shopping,trusted app and quality is 10/10,5
com.netflix.mediaclient,Entertainment,Netflix is good but when I watch Squid game ss3 and I've stuck at the loading screen forever and ever,4
com.olacabs.customer,Transport,"the auto drivers are scammers. they accept the ride and take otp . then they tell that the amount shown in the app is less and pay them what the meter shows. we can't even cancel the ride and only the drivers can do it. they start making a scene if we don't agree. I have experienced it 2 times and my mother once. there is no option to call coustomer care number to resolve the issue. don't use ola, use other apps like uber even if they charge more than ola, as it is a concern for safety.",1
com.byjus.thelearningapp,Education,Unable to login into the app. Please helpe out.,1
com.phonepe.app,Finance & Wallets,Easy and prompt action is loved by me.,5
